participant,t1ID,CompletionTime,SOT_correct,model_Aroute,model_Broute,model_average,RecallScore,MRT,Model_Rsq,pointerror,sameerror,differenterror,age_round,grp_wise_age,ageyears,sex,SODA_average,cluster_both,clusters_manual,kmeans_3clusters,ZSOT_correct,ZMRT,ZModel_Rsq,Zsameerror,Zdifferenterror,ZSOT_corrected_inversed,age_sq,centered_recall,centered_age,age_recall_centered,age_recall_multiplied
778,293,15.39,75.25,0,0.645004670,0.38,8,8,0.02,43.00,43.61,42.55,1,0.00,9.47,1,2.58,Bad over,3,Bad Between/Bad Within,0.44422,-0.94051,-1.34589,1.01511,-0.93174,-0.44,89.68,1.91,-2.71,-5.18,75.76
841,294,14.75,85.08,1,0.401188778,0.55,4,-8,0.23,56.49,43.28,66.39,1,0.00,9.07,1,5.25,Bad over,0,Bad Between/Bad Within,0.74885,-1.66160,-0.43018,0.98856,1.25336,-0.75,82.26,-2.09,-3.11,6.48,36.28
584,295,14.34,66.17,0,0.122627671,0.23,5,14,0.03,48.64,36.83,57.49,2,0.00,10.47,1,5.25,Bad over,0,Bad Between/Bad Within,0.16283,-0.67010,-1.30229,0.46973,0.43761,-0.16,109.62,-1.09,-1.71,1.85,52.35
523,297,13.68,82.67,0,0.381849204,0.40,7,24,0.51,48.13,43.65,51.49,2,0.00,10.22,0,2.33,Bad over,0,Bad Between/Bad Within,0.67416,-0.21942,0.79076,1.01832,-0.11233,-0.67,104.45,0.91,-1.96,-1.79,71.54
4085,301,12.51,89.92,0,0.683964771,0.40,6,-24,0.48,51.73,38.80,61.43,1,0.00,9.09,0,2.25,Bad over,0,Bad Between/Bad Within,0.89884,-2.38268,0.65995,0.62819,0.79874,-0.90,82.63,-0.09,-3.09,0.27,54.54
4118,302,14.06,59.58,1,0.575948555,0.69,8,46,0.02,47.33,39.37,53.30,2,0.00,10.88,0,3.82,Bad over,0,Bad Between/Bad Within,-0.04140,0.77207,-1.34589,0.67404,0.05357,0.04,118.37,1.91,-1.30,-2.48,87.04
BB,303,13.42,44.08,1,0.671690707,0.61,7,50,0.67,42.97,20.77,59.63,7,2.00,15.99,1,3.92,Good overall,1,Bad Between/Good Within,-0.52175,0.95234,1.48845,-0.82213,0.63376,0.52,255.68,0.91,3.81,3.48,111.93
1000,304,12.61,89.67,0,0.187734297,0.15,3,40,0.03,43.55,35.60,49.51,0,0.00,8.24,0,4.17,Bad over,0,Bad Between/Bad Within,0.89109,0.50167,-1.30229,0.37079,-0.29381,-0.89,67.90,-3.09,-3.94,12.15,24.72
5839,308,12.55,100.33,0,0.669845845,0.35,5,10,0.15,47.43,42.64,51.03,0,0.00,8.61,1,4.00,Bad over,0,Bad Between/Bad Within,1.22145,-0.85037,-0.77902,0.93708,-0.15449,-1.22,74.13,-1.09,-3.57,3.87,43.05
441,309,12.49,27.33,0,0.220971651,0.12,5,0,0.26,48.75,39.63,55.58,2,0.00,10.67,1,3.58,Bad over,0,Bad Between/Bad Within,-1.04083,-1.30105,-0.29937,0.69496,0.26255,1.04,113.85,-1.09,-1.51,1.64,53.35
819,312,13.35,91.92,1,0.075201115,0.44,4,28,0.29,39.40,32.71,44.41,2,0.00,10.27,0,,Good overall,3,Bad Between/Good Within,0.96082,-0.03915,-0.16855,0.13832,-0.76126,-0.96,105.47,-2.09,-1.91,3.97,41.08
CY,315,13.69,22.92,1,0.121702947,0.45,8,66,0.63,36.16,28.02,42.26,7,2.00,15.81,1,,Good overall,3,Bad Between/Good Within,-1.17750,1.67343,1.31403,-0.23894,-0.95832,1.18,249.96,1.91,3.63,6.96,126.48
